lat,lon,name
55.7511,37.7866,Perovo
55.7517,37.8166,Novogireyevo
55.7451,37.8638,Novokosino
55.8980,37.5870,Altufyevo
55.8838,37.6034,Bibirevo
55.8633,37.6047,Otradnoye
55.8473,37.5899,Vladykino
55.8351,37.5745,Petrovsko-Razumovskaya
55.8176,37.5765,Timiryazevskaya
55.8069,37.5817,Dmitrovskaya
55.7927,37.5885,Savyolovskaya
55.7810,37.6011,Mendeleyevskaya
55.7708,37.6187,Tsvetnoy Bulvar
55.7644,37.6097,Chekhovskaya
55.7511,37.6072,Borovitskaya
55.7379,37.6180,Polyanka
55.7280,37.6246,Serpukhovskaya
55.7087,37.6229,Tulskaya
55.6830,37.6224,Nagatinskaya
55.6724,37.6104,Nagornaya
55.6627,37.6055,Nakhimovsky Prospekt
55.6524,37.5984,Sevastopolskaya
55.6405,37.6067,Chertanovskaya
55.6224,37.6090,Yuzhnaya
55.6124,37.6044,Prazhskaya
55.5949,37.6004,Ulitsa Akademika Yangelya
55.5828,37.5966,Annino
55.5693,37.5769,Bulvar Dmitriya Donskogo
55.8351,37.5745,Petrovsko-Razumovskaya
55.8228,37.5881,Fonvizinskaya
55.8133,37.6028,Butyrskaya
55.7954,37.6162,Maryina Roshcha
55.7816,37.6151,Dostoyevskaya
55.7688,37.6200,Trubnaya
55.7668,37.6392,Sretensky Bulvar
55.7565,37.6573,Chkalovskaya
55.7463,37.6819,Rimskaya
55.7331,37.6673,Krestyanskaya Zastava
55.7186,37.6760,Dubrovka
55.7074,37.6851,Kozhukhovskaya
55.6934,37.7270,Pechatniki
55.6909,37.7530,Volzhskaya
55.6758,37.7618,Lyublino
55.6597,37.7505,Bratislavskaya
55.6500,37.7431,Maryino
55.6334,37.7436,Borisovo
55.6211,37.7437,Shipilovskaya
55.6124,37.7453,Zyablikovo
55.6551,37.6487,Kashirskaya
55.6533,37.6194,Varshavskaya
55.6530,37.5983,Kakhovskaya
55.6004,37.5562,Bittsevsky Park
55.5821,37.5769,Lesoparkovaya
55.5690,37.5767,Ulitsa Starokachalovskaya
55.5481,37.5546,Ulitsa Skobelevskaya
55.5455,37.5430,Bulvar Admirala Ushakova
55.5418,37.5308,Ulitsa Gorchakova
55.5380,37.5158,Buninskaya Alleya
55.8190,37.5789,Timiryazevskaya
55.8218,37.5911,Ulitsa Milashenkova
55.8218,37.6089,Teletsentr
55.8218,37.6269,Ulitsa Akademika Korolyova
55.8240,37.6383,Vystavochny Tsentr
55.8292,37.5919,Ulitsa Sergeya Eisensteina
55.8489,37.5711,Okruzhnaya
55.8472,37.5711,Vladykino
55.8472,37.5711,Botanichesky Sad
55.8394,37.6678,Rostokino
55.8300,37.7006,Belokamennaya
55.8172,37.7369,Bulvar Rokossovskogo
55.8039,37.7460,Lokomotiv
55.7886,37.7428,Izmaylovo
55.7714,37.7451,Sokolinaya Gora
55.7590,37.7463,Shosse Entuziastov
55.7411,37.7344,Andronovka
55.7322,37.7282,Nizhegorodskaya
55.7239,37.7161,Novokhokhlovskaya
55.7183,37.6978,Ugreshskaya
55.7183,37.6978,Dubrovka
55.7063,37.6631,Avtozavodskaya
55.6983,37.6483,ZIL
55.6900,37.6189,Verkhnie Kotly
55.6900,37.6050,Krymskaya
55.7069,37.5858,Ploshchad Gagarina
55.7203,37.5631,Luzhniki
55.7408,37.5333,Kutuzovskaya
55.7472,37.5322,Delovoy Tsentr
55.7575,37.5256,Shelepikha
55.7772,37.5072,Khoroshyovo
55.7878,37.5045,Zorge
55.7991,37.4988,Panfilovskaya
55.8136,37.4869,Streshnevo
55.8258,37.4961,Baltiyskaya
55.8397,37.5203,Koptevo
55.8472,37.5513,Likhobory
